Filmina,Dificultad,Hemisferio,Consigna,Nivel de Ejercicio,Descripcion de Ejercicio,Dificultad de Nivel Ejercicio,Prioridad Coordinativa,Patron Tecnico/Tactico,Escenario:Hemisferio Derecho Defecto Excesivo,Escenario:Hemisferio Izquierdo Defecto Excesivo,Escenario:Hemisferio Derecho Defecto Moderado,Escenario:Hemisferio Izquierdo Defecto Moderado,Escenario: Hemisferio Izquierdo Exceso Moderado,Escenario: Hemisferio Derecho Exceso Moderado,Escenario: Hemisferio Izquierdo Muy Excedido,Escenario: Hemisferio Derecho Muy Excedido,Escenarios Optimo,Modificador Fisico,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,11,"Primero decir el numero, despues el color",30%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,11,Tocar primero con pies y despues con manos,30%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,11,Cruzo pie en los impares,30%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,12,"Primero decir el numero, despues el color",30%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,12,Tocar primero con pies y despues con manos,30%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,12,Cruzo pie en los pares,30%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,13,"Primero decir el numero, despues el color",10%,Sin Prioridad,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,13,Tocar con manos y pies al mismo tiempo,10%,Sin Prioridad,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,13,Sin cruzar en pares o impares,10%,Sin Prioridad,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,14,"Primero decir el numero, despues el color",10%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,14,Tocar primero con manos y despues con pies,10%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,14,Sin cruzar en pares o impares,10%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,15,"Primero decir el numero, despues el color",10%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,15,Tocar primero con pies y despues con manos,10%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,15,Sin cruzar en pares o impares,10%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,16,"Primero decir el numero, despues el color",10%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,16,Solo toca con Mano,10%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,16,No cruzar,10%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,17,"Primero decir el numero, despues el color",10%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,17,Solo toca con Mano,10%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,17,Cruza mano en los pares o impares,10%,Mano,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,18,"Primero decir el numero, despues el color",10%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,18,Solo toca pie,10%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,18,No cruzar,10%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,19,"Primero decir el numero, despues el color",10%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,19,Solo toca pie,10%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HI>HD],Primero Numero y despues color,19,Cruza pie en los pares o impares,10%,Pie,Ojo Derecho ,,,B.1,,,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,1,"Primero decir el color, despues el numero",15%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,1,Tocar con manos y pies al mismo tiempo,15%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,1,Cruzo mano en los impares,15%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,2,"Primero decir el color, despues el numero",15%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,2,Tocar con manos y pies al mismo tiempo,15%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,2,Cruzo mano en los pares,15%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,3,"Primero decir el color, despues el numero",15%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,3,Tocar con manos y pies al mismo tiempo,15%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,3,Cruzo pie en los impares,15%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,4,"Primero decir el color, despues el numero",15%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,4,Tocar con manos y pies al mismo tiempo,15%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,4,Cruzo pie en los pares,15%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,5,"Primero decir el color, despues el numero",30%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,5,Tocar primero con manos y despues con pies,30%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,5,Cruzo mano en los impares,30%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,6,"Primero decir el color, despues el numero",30%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,6,Tocar primero con manos y despues con pies,30%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,6,Cruzo mano en los pares,30%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,7,"Primero decir el color, despues el numero",25%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,7,Tocar primero con manos y despues con pies,25%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,7,Cruzo pie en los impares,25%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,8,"Primero decir el color, despues el numero",25%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,8,Tocar primero con manos y despues con pies,25%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,8,Cruzo pie en los pares,25%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,9,"Primero decir el color, despues el numero",25%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,9,Tocar primero con pies y despues con manos,25%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,9,Cruzo mano en los impares,25%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,10,"Primero decir el color, despues el numero",25%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,10,Tocar primero con pies y despues con manos,25%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,10,Cruzo mano en los pares,25%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,11,"Primero decir el color, despues el numero",30%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,11,Tocar primero con pies y despues con manos,30%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,11,Cruzo pie en los impares,30%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,12,"Primero decir el color, despues el numero",30%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,12,Tocar primero con pies y despues con manos,30%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,12,Cruzo pie en los pares,30%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,13,"Primero decir el color, despues el numero",10%,Sin Prioridad,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,13,Tocar con manos y pies al mismo tiempo,10%,sin Prioridad,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,13,Sin cruzar en pares o impares,10%,sin Prioridad,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,14,"Primero decir el color, despues el numero",10%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,14,Tocar primero con manos y despues con pies,10%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,14,Sin cruzar en pares o impares,10%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,15,"Primero decir el color, despues el numero",10%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,15,Tocar primero con pies y despues con manos,10%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,15,Sin cruzar en pares o impares,10%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,16,"Primero decir el color, despues el numero",10%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,16,Solo toca con Mano,10%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,16,No cruzar,10%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,17,"Primero decir el color, despues el numero",10%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,17,Solo toca con Mano,10%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,17,Cruza mano en los pares o impares,10%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,18,"Primero decir el color, despues el numero",10%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,18,Solo toca pie,10%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,18,No cruzar,10%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,19,"Primero decir el color, despues el numero",10%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,19,Solo toca pie,10%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,19,Cruza pie en los pares o impares,10%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",1,Digo Fondo,50%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",1,Toco con Mano,50%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",2,Digo Fondo,60%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",2,Toco con Pie,60%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",3,Digo Fondo,60%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",3,Lanzar con Mano,60%,Mano,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",4,Digo Fondo,60%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",4,Patear con Pie,60%,Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",5,Digo Fondo,70%,Mano y Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",5,Conduzco con Pie y Lanzo con Mano,70%,Mano y Pie,Ojo Izquierdo,,,,B.2,D.1,,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",1,Digo Palabra,50%,Mano,Ojo Derecho ,,,B.1,,,D.2,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",1,Toco con Mano,50%,Mano,Ojo Derecho ,,,B.1,,,D.2,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",2,Digo Palabra,60%,Pie,Ojo Derecho ,,,B.1,,,D.2,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",2,Toco con Pie,60%,Pie,Ojo Derecho ,,,B.1,,,D.2,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",3,Digo Palabra,60%,Mano,Ojo Derecho ,,,B.1,,,D.2,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",3,Lanzar con Mano,60%,Mano,Ojo Derecho ,,,B.1,,,D.2,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",4,Digo Palabra,60%,Pie,Ojo Derecho ,,,B.1,,,D.2,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",4,Patear con Pie,60%,Pie,Ojo Derecho ,,,B.1,,,D.2,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",5,Digo Palabra,70%,Mano y Pie,Ojo Derecho ,,,B.1,,,D.2,,,C.1,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",5,Conduzco con Pie y Lanzo con Mano,70%,Mano y Pie,Ojo Derecho ,,,B.1,,,D.2,,,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,1,Observar en puntos externos y Descansar en el central,10%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,1,Tiempo Isometrico 10 segundos,10%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,1,Tiempo Descanso 10 segundos,10%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,2,Observar en puntos externos y Descansar en el central,15%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,2,Tiempo Isometrico 20 segundos,15%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,2,Tiempo Descanso 10 segundos,15%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,3,Observar en puntos externos y Descansar en el central,20%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,3,Tiempo Isometrico 30 segundos,20%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,3,Tiempo Descanso 10 segundos,20%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,4,Observar en puntos externos y Descansar en el central,25%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,4,Tiempo Isometrico 20 segundos,25%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,4,Tiempo Descanso 5 segundos,25%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,5,Observar en puntos externos y Descansar en el central,30%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,5,Tiempo Isometrico 30 segundos,30%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Resistencia Ocular,Inicial,Sin impacto en Hemisferios,Observar,5,Tiempo Descanso 5 segundos,30%,-,-,A.1,A.2,B.1,B.2,D.1,D.2,E.1,E2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,1,Solo decir el Letra,10%,-,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,1,Empezar de letra chica hacia la grande (Centro hacia afuera),10%,-,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,1,Sentido Horario,10%,-,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,2,Solo decir el Letra,10%,-,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,2,Empezar de letra Grande hacia la Chica (Afuera hacia Adentro),10%,-,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,2,Sentido Horario,10%,-,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,3,Solo decir el Letra,10%,Mano,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,3,Empezar de letra chica hacia la grande (Centro hacia afuera),10%,Mano,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,3,Sentido Horario,10%,Mano,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,3,Toca color con la mano,10%,Mano,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,4,Solo decir el Letra,10%,Pie,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,4,Empezar de letra chica hacia la grande (Centro hacia afuera),10%,Pie,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,4,Sentido Horario,10%,Pie,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,4,Toca color con el pie,10%,Pie,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,5,Solo decir el Letra,20%,Mano,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,5,Empezar de letra Grande hacia la Chica (Afuera hacia Adentro),20%,Mano,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,5,Sentido Horario,20%,Mano,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,5,Toca color con la mano,20%,Mano,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,6,Solo decir el Letra,20%,Pie,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,6,Empezar de letra Grande hacia la Chica (Afuera hacia Adentro),20%,Pie,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,6,Sentido Horario,20%,Pie,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HI,Solo decir Letra,6,Toca color con el pie,20%,Pie,-,A.1,,,,,,,E.2,C.1,,,
Vision Periferica,Inicial,Solo HD,Solo decir color,1,Solo decir el Color,10%,-,-,,A.2,,,,,E.1,,C.1,,,
Vision Periferica,Inicial,Solo HD,Solo decir color,1,Empezar de Color chica hacia la grande (Centro hacia afuera),10%,-,-,,A.2,,,,,E.1,,C.1,,,
