Filmina,Dificultad,Hemisferio,Consigna,Subnivel,Ejercicios,Nivel del Ejercicio,Prioridad Coordinativa,Patron Tecnico/Tactico,Modificador Fisico,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,4,"Primero decir el color, despues el numero",15%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,4,Tocar con manos y pies al mismo tiempo,15%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,4,Cruzo pie en los pares,15%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,5,"Primero decir el color, despues el numero",30%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,5,Tocar primero con manos y despues con pies,30%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,5,Cruzo mano en los impares,30%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,6,"Primero decir el color, despues el numero",30%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,6,Tocar primero con manos y despues con pies,30%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,6,Cruzo mano en los pares,30%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,7,"Primero decir el color, despues el numero",25%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,7,Tocar primero con manos y despues con pies,25%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,7,Cruzo pie en los impares,25%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,8,"Primero decir el color, despues el numero",25%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,8,Tocar primero con manos y despues con pies,25%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,8,Cruzo pie en los pares,25%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,9,"Primero decir el color, despues el numero",25%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,9,Tocar primero con pies y despues con manos,25%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,9,Cruzo mano en los impares,25%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,10,"Primero decir el color, despues el numero",25%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,10,Tocar primero con pies y despues con manos,25%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,10,Cruzo mano en los pares,25%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,11,"Primero decir el color, despues el numero",30%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,11,Tocar primero con pies y despues con manos,30%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,11,Cruzo pie en los impares,30%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,12,"Primero decir el color, despues el numero",30%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,12,Tocar primero con pies y despues con manos,30%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,12,Cruzo pie en los pares,30%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,13,"Primero decir el color, despues el numero",10%,Sin Prioridad,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,13,Tocar con manos y pies al mismo tiempo,10%,sin Prioridad,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,13,Sin cruzar en pares o impares,10%,sin Prioridad,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,14,"Primero decir el color, despues el numero",10%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,14,Tocar primero con manos y despues con pies,10%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,14,Sin cruzar en pares o impares,10%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,15,"Primero decir el color, despues el numero",10%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,15,Tocar primero con pies y despues con manos,10%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,15,Sin cruzar en pares o impares,10%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,16,"Primero decir el color, despues el numero",10%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,16,Solo toca con Mano,10%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,16,No cruzar,10%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,17,"Primero decir el color, despues el numero",10%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,17,Solo toca con Mano,10%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,17,Cruza mano en los pares o impares,10%,Mano,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,18,"Primero decir el color, despues el numero",10%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,18,Solo toca pie,10%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,18,No cruzar,10%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,19,"Primero decir el color, despues el numero",10%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,19,Solo toca pie,10%,Pie,Ojo Izquierdo,,,
Panel de Confusion A (Rojo/Azul),Inicial,Combinado [HD>HI],Primero Color y despues numero,19,Cruza pie en los pares o impares,10%,Pie,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",1,Digo Fondo,50%,Mano,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",1,Toco con Mano,50%,Mano,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",2,Digo Fondo,60%,Pie,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",2,Toco con Pie,60%,Pie,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",3,Digo Fondo,60%,Mano,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",3,Lanzar con Mano,60%,Mano,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",4,Digo Fondo,60%,Pie,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",4,Patear con Pie,60%,Pie,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",5,Digo Fondo,70%,Mano y Pie,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HD>HI],"Digo Fondo, Toco Palabra",5,Conduzco con Pie y Lanzo con Mano,70%,Mano y Pie,Ojo Izquierdo,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",1,Digo Palabra,50%,Mano,Ojo Derecho ,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",1,Toco con Mano,50%,Mano,Ojo Derecho ,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",2,Digo Palabra,60%,Pie,Ojo Derecho ,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",2,Toco con Pie,60%,Pie,Ojo Derecho ,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",3,Digo Palabra,60%,Mano,Ojo Derecho ,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",3,Lanzar con Mano,60%,Mano,Ojo Derecho ,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",4,Digo Palabra,60%,Pie,Ojo Derecho ,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",4,Patear con Pie,60%,Pie,Ojo Derecho ,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",5,Digo Palabra,70%,Mano y Pie,Ojo Derecho ,,,
Panel de Confusion B (Multicolor),Intermedio,Combinado [HI>HD],"Digo Palabra, Toco Fondo",5,Conduzco con Pie y Lanzo con Mano,70%,Mano y Pie,Ojo Derecho ,,,
